"code", "display", "parent"
"https://www.gov.uk/api/content/education/student-grants-bursaries-scholarships", "Student grants, bursaries and scholarships", "https://www.gov.uk/api/content/education/funding-and-finance-for-students"
"https://www.gov.uk/api/content/education/student-loans-bursaries-and-sponsorship", "Student loans", "https://www.gov.uk/api/content/education/funding-and-finance-for-students"
"https://www.gov.uk/api/content/education/school-curriculum", "School curriculum", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/key-stage-5-as-and-a-levels", "Key stage 5 (AS and A Levels)", "https://www.gov.uk/api/content/education/school-curriculum"
"https://www.gov.uk/api/content/education/key-stage-5-exam-marking-qualifications-and-results", "Key stage 5 exam marking, qualifications and results", "https://www.gov.uk/api/content/education/key-stage-5-as-and-a-levels"
"https://www.gov.uk/api/content/education/as-and-a-level-changes-and-reforms", "AS and A level changes and reforms", "https://www.gov.uk/api/content/education/key-stage-5-as-and-a-levels"
"https://www.gov.uk/api/content/education/as-and-a-level-subject-content-and-requirements", "AS and A level subject content and requirements", "https://www.gov.uk/api/content/education/key-stage-5-as-and-a-levels"
"https://www.gov.uk/api/content/education/personal-social-health-and-economic-education", "Personal, social, health and economic education", "https://www.gov.uk/api/content/education/school-curriculum"
"https://www.gov.uk/api/content/education/secondary-curriculum-key-stage-3-and-key-stage-4-gcses", "Secondary curriculum, key stage 3 and key stage 4 (GCSEs)", "https://www.gov.uk/api/content/education/school-curriculum"
"https://www.gov.uk/api/content/education/gcse-subject-content-and-requirements", "GCSE subject content and requirements", "https://www.gov.uk/api/content/education/secondary-curriculum-key-stage-3-and-key-stage-4-gcses"
"https://www.gov.uk/api/content/education/key-stage-3-and-4-exam-marking-qualifications-and-results", "Key stage 3 and 4 exam marking, qualifications and results", "https://www.gov.uk/api/content/education/secondary-curriculum-key-stage-3-and-key-stage-4-gcses"
"https://www.gov.uk/api/content/education/gcse-changes-and-reforms", "GCSE changes and reforms", "https://www.gov.uk/api/content/education/secondary-curriculum-key-stage-3-and-key-stage-4-gcses"
